Date,oni,dmi,oni_lag3m,oni_lag6m,dmi_lag3m,dmi_lag6m
2015-01-01,0.69,-0.1,,,,
2015-02-01,0.61,-0.34500000000000003,,,,
2015-03-01,0.65,-0.241,,,,
2015-04-01,0.81,-0.008,0.69,,-0.1,
2015-05-01,1.02,0.24,0.61,,-0.34500000000000003,
2015-06-01,1.25,0.296,0.65,,-0.241,
2015-07-01,1.57,0.225,0.81,0.69,-0.008,-0.1
2015-08-01,1.91,0.568,1.02,0.61,0.24,-0.34500000000000003
2015-09-01,2.21,0.294,1.25,0.65,0.296,-0.241
2015-10-01,2.47,0.482,1.57,0.81,0.225,-0.008
2015-11-01,2.64,0.34700000000000003,1.91,1.02,0.568,0.24
2015-12-01,2.75,0.272,2.21,1.25,0.294,0.296
2016-01-01,2.63,0.265,2.47,1.57,0.482,0.225
2016-02-01,2.28,-0.11,2.64,1.91,0.34700000000000003,0.568
2016-03-01,1.71,-0.008,2.75,2.21,0.272,0.294
2016-04-01,1.05,0.146,2.63,2.47,0.265,0.482
2016-05-01,0.49,-0.113,2.28,2.64,-0.11,0.34700000000000003
2016-06-01,0.0,-0.443,1.71,2.75,-0.008,0.272
2016-07-01,-0.31,-0.757,1.05,2.63,0.146,0.265
2016-08-01,-0.5,-0.443,0.49,2.28,-0.113,-0.11
2016-09-01,-0.58,-0.437,0.0,1.71,-0.443,-0.008
2016-10-01,-0.64,-0.371,-0.31,1.05,-0.757,0.146
2016-11-01,-0.6,-0.382,-0.5,0.49,-0.443,-0.113
2016-12-01,-0.45,-0.31,-0.58,0.0,-0.437,-0.443
2017-01-01,-0.19,-0.086,-0.64,-0.31,-0.371,-0.757
2017-02-01,-0.02,0.101,-0.6,-0.5,-0.382,-0.443
2017-03-01,0.18,0.357,-0.45,-0.58,-0.31,-0.437
2017-04-01,0.31,0.498,-0.19,-0.64,-0.086,-0.371
2017-05-01,0.4,0.536,-0.02,-0.6,0.101,-0.382
2017-06-01,0.39,0.424,0.18,-0.45,0.357,-0.31
2017-07-01,0.19,0.52,0.31,-0.19,0.498,-0.086
