date,nada,lembing,reman,nada_imputed,lembing_imputed,reman_imputed
2009-01-01,86.5,92.2,76.5,0,0,0
2009-01-02,72.7,63.4,52.5,0,0,0
2009-01-03,185.3,238.9,239.4,0,0,0
2009-01-04,17.5,23.5,18.5,0,0,0
2009-01-05,7.5,12.5,18.0,0,0,0
2009-01-06,0.5,0.0,0.0,0,0,0
2009-01-07,0.0,0.0,0.0,0,0,0
2009-01-08,0.0,0.0,0.0,0,0,0
2009-01-09,0.0,0.0,0.0,0,0,0
2009-01-10,0.0,0.0,0.0,0,0,0
2009-01-11,0.0,0.0,0.0,0,0,0
2009-01-12,4.0,4.5,2.5,0,0,0
2009-01-13,3.4,3.4,3.8,0,0,0
2009-01-14,3.6,5.3,5.2,0,0,0
2009-01-15,0.0,0.3,0.5,0,0,0
2009-01-16,0.5,0.0,0.0,0,0,0
2009-01-17,0.0,0.0,0.0,0,0,0
2009-01-18,0.0,0.0,0.0,0,0,0
2009-01-19,0.0,0.0,0.0,0,0,0
2009-01-20,0.0,0.0,0.0,0,0,0
2009-01-21,0.0,0.0,0.0,0,0,0
2009-01-22,0.0,0.0,0.0,0,0,0
2009-01-23,0.0,0.0,0.0,0,0,0
2009-01-24,0.4,4.9,0.4,0,0,0
2009-01-25,14.3,25.6,20.5,0,0,0
2009-01-26,1.8,2.0,2.6,0,0,0
2009-01-27,0.0,0.0,0.0,0,0,0
2009-01-28,0.0,0.0,0.0,0,0,0
2009-01-29,0.0,0.0,0.0,0,0,0
2009-01-30,0.0,0.0,0.0,0,0,0
2009-01-31,0.0,0.0,0.0,0,0,0
2009-02-01,0.0,1.0,0.0,0,0,0
2009-02-02,0.0,0.0,0.0,0,0,0
2009-02-03,0.0,0.0,0.0,0,0,0
2009-02-04,0.0,2.0,0.0,0,0,0
2009-02-05,0.0,0.0,0.0,0,0,0
2009-02-06,0.0,0.0,0.0,0,0,0
2009-02-07,0.0,0.0,0.0,0,0,0
2009-02-08,0.0,0.0,0.0,0,0,0
2009-02-09,0.0,0.0,0.0,0,0,0
2009-02-10,0.0,0.0,0.0,0,0,0
2009-02-11,0.5,0.5,0.5,0,0,0
2009-02-12,11.5,9.0,4.0,0,0,0
2009-02-13,5.0,0.0,0.0,0,0,0
2009-02-14,1.0,0.5,0.5,0,0,0
2009-02-15,15.0,2.5,1.5,0,0,0
2009-02-16,13.5,35.5,0.0,0,0,0
2009-02-17,0.0,0.0,0.0,0,0,0
2009-02-18,0.0,0.0,0.0,0,0,0
2009-02-19,0.0,0.0,0.0,0,0,0
2009-02-20,12.5,6.0,1.0,0,0,0
2009-02-21,1.0,3.0,0.0,0,0,0
2009-02-22,3.5,1.5,3.5,0,0,0
2009-02-23,43.0,13.5,26.0,0,0,0
2009-02-24,0.0,0.0,0.0,0,0,0
2009-02-25,0.0,0.0,0.0,0,0,0
2009-02-26,5.0,10.5,3.5,0,0,0
2009-02-27,0.0,0.0,0.5,0,0,0
2009-02-28,2.0,4.5,3.3,0,0,0
2009-03-01,31.5,23.7,2.7,0,0,0
2009-03-02,7.3,5.6,27.3,0,0,0
2009-03-03,62.2,18.2,46.2,0,0,0
2009-03-04,0.8,1.4,0.4,0,0,0
2009-03-05,18.3,54.3,14.7,0,0,0
2009-03-06,3.3,25.8,3.2,0,0,0
2009-03-07,0.0,50.0,0.1,0,0,0
2009-03-08,41.0,13.0,32.3,0,0,0
2009-03-09,5.0,4.5,4.7,0,0,0
2009-03-10,0.0,0.5,0.5,0,0,0
2009-03-11,0.0,0.0,0.0,0,0,0
2009-03-12,3.5,0.0,0.5,0,0,0
2009-03-13,5.5,3.5,24.5,0,0,0
2009-03-14,15.3,6.2,8.8,0,0,0
2009-03-15,67.2,40.1,73.8,0,0,0
2009-03-16,26.0,30.1,15.4,0,0,0
2009-03-17,1.0,0.5,1.0,0,0,0
2009-03-18,0.0,0.0,0.0,0,0,0
2009-03-19,57.0,47.0,3.0,0,0,0
2009-03-20,9.9,22.0,5.5,0,0,0
2009-03-21,5.1,4.5,0.9,0,0,0
2009-03-22,17.0,15.5,3.6,0,0,0
2009-03-23,0.0,1.0,0.0,0,0,0
2009-03-24,63.5,20.0,17.5,0,0,0
2009-03-25,0.0,1.0,0.5,0,0,0
2009-03-26,0.4,2.4,0.4,0,0,0
2009-03-27,0.6,3.6,2.6,0,0,0
2009-03-28,17.0,16.0,2.5,0,0,0
2009-03-29,38.5,53.0,17.0,0,0,0
2009-03-30,0.5,3.0,3.0,0,0,0
2009-03-31,0.0,1.5,0.0,0,0,0
2009-04-01,0.0,2.5,0.0,0,0,0
2009-04-02,0.0,0.0,0.0,0,0,0
2009-04-03,2.0,5.5,0.0,0,0,0
2009-04-04,0.0,2.5,1.0,0,0,0
2009-04-05,3.0,1.0,7.5,0,0,0
2009-04-06,0.0,3.5,0.0,0,0,0
2009-04-07,5.0,83.8,5.5,0,0,0
2009-04-08,0.4,11.7,0.4,0,0,0
2009-04-09,38.6,37.0,28.1,0,0,0
2009-04-10,0.0,2.0,0.5,0,0,0
2009-04-11,3.5,2.5,0.5,0,0,0
2009-04-12,1.3,0.8,2.3,0,0,0
2009-04-13,6.2,18.7,3.2,0,0,0
2009-04-14,0.0,2.0,0.0,0,0,0
2009-04-15,45.0,32.5,31.5,0,0,0
2009-04-16,1.0,0.0,4.5,0,0,0
2009-04-17,0.0,0.0,0.5,0,0,0
2009-04-18,0.0,0.0,0.0,0,0,0
2009-04-19,33.0,4.0,2.0,0,0,0
2009-04-20,0.5,3.4,1.0,0,0,0
2009-04-21,2.5,7.1,3.5,0,0,0
2009-04-22,0.0,0.0,0.0,0,0,0
2009-04-23,5.5,0.0,2.5,0,0,0
2009-04-24,7.5,4.5,8.0,0,0,0
2009-04-25,0.5,0.0,0.0,0,0,0
2009-04-26,0.0,0.0,0.0,0,0,0
2009-04-27,0.5,0.0,0.5,0,0,0
2009-04-28,0.0,0.0,0.0,0,0,0
2009-04-29,0.0,0.0,0.0,0,0,0
2009-04-30,1.0,2.0,2.5,0,0,0
2009-05-01,0.5,0.5,0.5,0,0,0
2009-05-02,4.2,1.5,8.9,0,0,0
2009-05-03,4.4,1.0,8.7,0,0,0
2009-05-04,0.0,0.5,3.5,0,0,0
2009-05-05,0.5,1.0,5.4,0,0,0
2009-05-06,12.5,4.5,14.6,0,0,0
2009-05-07,2.0,0.0,9.0,0,0,0
2009-05-08,35.9,115.2,15.7,0,0,0
2009-05-09,4.6,1.8,10.3,0,0,0
2009-05-10,12.0,2.5,34.0,0,0,0
2009-05-11,10.0,4.5,7.0,0,0,0
2009-05-12,23.5,6.0,7.5,0,0,0
2009-05-13,1.0,6.9,8.3,0,0,0
2009-05-14,12.5,4.1,12.7,0,0,0
2009-05-15,0.0,25.5,2.0,0,0,0
2009-05-16,2.0,7.5,0.0,0,0,0
2009-05-17,31.0,64.7,24.1,0,0,0
2009-05-18,18.5,19.3,22.4,0,0,0
2009-05-19,0.0,0.0,0.0,0,0,0
2009-05-20,0.0,0.0,0.0,0,0,0
2009-05-21,7.3,15.4,8.0,0,0,0
2009-05-22,0.6,1.6,1.0,0,0,0
2009-05-23,6.1,23.0,23.5,0,0,0
2009-05-24,0.0,0.0,0.0,0,0,0
2009-05-25,7.0,0.0,0.5,0,0,0
2009-05-26,16.4,20.5,13.0,0,0,0
2009-05-27,12.3,6.7,11.7,0,0,0
2009-05-28,34.2,17.3,33.1,0,0,0
2009-05-29,9.6,0.5,5.7,0,0,0
2009-05-30,0.0,0.0,0.0,0,0,0
2009-05-31,0.0,0.0,0.0,0,0,0
2009-06-01,0.0,9.0,0.0,0,0,0
2009-06-02,0.0,0.0,0.0,0,0,0
2009-06-03,0.0,0.0,0.0,0,0,0
2009-06-04,0.0,0.0,0.0,0,0,0
2009-06-05,0.0,4.0,3.5,0,0,0
2009-06-06,0.0,0.0,0.5,0,0,0
