date_start,date_end,nada_3931013,lembing_3930012,reman_3931014,nada_3931013_missing,lembing_3930012_missing,reman_3931014_missing,nada_3931013_15m_total,nada_3931013_15m_peak,nada_3931013_15m_std,lembing_3930012_15m_total,lembing_3930012_15m_peak,lembing_3930012_15m_std,reman_3931014_15m_total,reman_3931014_15m_peak,reman_3931014_15m_std,doy_sin,doy_cos,month_sin,month_cos,nada_3931013_total_rm3,nada_3931013_peak_rm3,nada_3931013_total_rm7,nada_3931013_peak_rm7,nada_3931013_total_rm14,nada_3931013_peak_rm14,nada_3931013_total_lag3,nada_3931013_total_lag7,nada_3931013_total_lag14,lembing_3930012_total_rm3,lembing_3930012_peak_rm3,lembing_3930012_total_rm7,lembing_3930012_peak_rm7,lembing_3930012_total_rm14,lembing_3930012_peak_rm14,lembing_3930012_total_lag3,lembing_3930012_total_lag7,lembing_3930012_total_lag14,reman_3931014_total_rm3,reman_3931014_peak_rm3,reman_3931014_total_rm7,reman_3931014_peak_rm7,reman_3931014_total_rm14,reman_3931014_peak_rm14,reman_3931014_total_lag3,reman_3931014_total_lag7,reman_3931014_total_lag14,nada_3931013_consec_dry,lembing_3930012_consec_dry,reman_3931014_consec_dry
2009-01-01,2009-01-02,86.5,92.2,76.5,0,0,0,85.8,14.2,2.396919624061376,91.4,12.6,2.2278136162551676,76.2,11.7,2.0797172125581223,0.017201575418260506,0.9998520419557735,0.49999999999999994,0.8660254037844387,86.5,14.2,86.5,14.2,86.5,14.2,,,,92.2,12.6,92.2,12.6,92.2,12.6,,,,76.5,11.7,76.5,11.7,76.5,11.7,,,,0,0,0
2009-01-02,2009-01-03,72.7,63.4,52.5,0,0,0,72.1,6.9,1.2890628821105228,61.9,5.1,1.0354627535720866,52.2,5.2,0.8960512790777333,0.03439806061360801,0.9994082116062598,0.49999999999999994,0.8660254037844387,79.6,10.55,79.6,10.55,79.6,10.55,,,,77.8,8.85,77.8,8.85,77.8,8.85,,,,64.5,8.45,64.5,8.45,64.5,8.45,,,,0,0,0
2009-01-03,2009-01-04,185.3,238.9,239.4,0,0,0,186.1,13.2,2.4434388963816702,238.3,17.1,3.312241880045873,239.2,17.5,3.0491989169432223,0.051584366869408364,0.9986686402879997,0.49999999999999994,0.8660254037844387,114.83333333333333,11.433333333333332,114.83333333333333,11.433333333333332,114.83333333333333,11.433333333333332,,,,131.5,11.6,131.5,11.6,131.5,11.6,,,,122.8,11.466666666666667,122.8,11.466666666666667,122.8,11.466666666666667,,,,0,0,0
2009-01-04,2009-01-05,17.5,23.5,18.5,0,0,0,16.6,2.4,0.4846005770717216,22.4,4.3,0.7426363658815964,17.3,2.8,0.6272110014587413,0.06875540848113941,0.9976335468520451,0.49999999999999994,0.8660254037844387,91.83333333333333,7.5,90.5,9.174999999999999,90.5,9.174999999999999,86.5,,,108.60000000000001,8.833333333333334,104.5,9.775,104.5,9.775,92.2,,,103.46666666666665,8.5,96.725,9.299999999999999,96.725,9.299999999999999,76.5,,,0,0,0
2009-01-05,2009-01-06,7.5,12.5,18.0,0,0,0,6.800000000000001,3.5,0.4167333280008531,12.3,3.2,0.4599091729552925,17.9,7.5,0.9924578518603692,0.08590610426133272,0.9963032375991965,0.49999999999999994,0.8660254037844387,70.10000000000001,6.366666666666666,73.9,8.04,73.9,8.04,72.7,,,91.63333333333333,8.200000000000001,86.1,8.459999999999999,86.1,8.459999999999999,63.4,,,91.96666666666665,9.266666666666667,80.97999999999999,8.94,80.97999999999999,8.94,52.5,,,0,0,0
2009-01-06,2009-01-07,0.5,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10303137904317879,0.9946781061893646,0.49999999999999994,0.8660254037844387,8.5,1.9666666666666668,61.666666666666664,6.699999999999999,61.666666666666664,6.699999999999999,185.3,,,12.0,2.5,71.75,7.05,71.75,7.05,238.9,,,12.166666666666666,3.4333333333333336,67.48333333333333,7.449999999999999,67.48333333333333,7.449999999999999,239.4,,,0,1,1
2009-01-07,2009-01-08,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1201261651823505,0.9927586335250793,0.49999999999999994,0.8660254037844387,2.6666666666666665,1.1666666666666667,52.857142857142854,5.742857142857142,52.857142857142854,5.742857142857142,17.5,,,4.166666666666667,1.0666666666666667,61.5,6.042857142857143,61.5,6.042857142857143,23.5,,,6.0,2.5,57.84285714285714,6.385714285714285,57.84285714285714,6.385714285714285,18.5,,,1,2,2
2009-01-08,2009-01-09,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,0.16666666666666666,0.0,40.5,3.7142857142857144,46.25,5.0249999999999995,7.5,86.5,,0.0,0.0,48.32857142857143,4.242857142857143,53.8125,5.2875,12.5,92.2,,0.0,0.0,46.91428571428571,4.714285714285714,50.6125,5.5874999999999995,18.0,76.5,,2,3,3
2009-01-09,2009-01-10,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,0.0,0.0,30.114285714285717,2.7285714285714286,41.111111111111114,4.466666666666666,0.5,72.7,,0.0,0.0,39.271428571428565,3.5142857142857147,47.833333333333336,4.699999999999999,0.0,63.4,,0.0,0.0,39.41428571428571,3.9714285714285715,44.98888888888889,4.966666666666666,0.0,52.5,,3,4,4
2009-01-10,2009-01-11,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17117705961019986,0.985240282501282,0.49999999999999994,0.8660254037844387,0.0,0.0,3.642857142857143,0.8428571428571429,37.0,4.02,0.0,185.3,,0.0,0.0,5.142857142857143,1.0714285714285714,43.05,4.2299999999999995,0.0,238.9,,0.0,0.0,5.214285714285714,1.4714285714285715,40.489999999999995,4.47,0.0,239.4,,4,5,5
