Date,pasir_kemudi_t2m,pasir_kemudi_d2m,pasir_kemudi_sp,pasir_kemudi_u10,pasir_kemudi_v10,pasir_kemudi_tcwv,pasir_kemudi_rh,pasir_kemudi_ws,pasir_kemudi_tp,felda_panching_t2m,felda_panching_d2m,felda_panching_sp,felda_panching_u10,felda_panching_v10,felda_panching_tcwv,felda_panching_rh,felda_panching_ws,felda_panching_tp,komtur_t2m,komtur_d2m,komtur_sp,komtur_u10,komtur_v10,komtur_tcwv,komtur_rh,komtur_ws,komtur_tp,sg_belat_t2m,sg_belat_d2m,sg_belat_sp,sg_belat_u10,sg_belat_v10,sg_belat_tcwv,sg_belat_rh,sg_belat_ws,sg_belat_tp,sg_cherating_t2m,sg_cherating_d2m,sg_cherating_sp,sg_cherating_u10,sg_cherating_v10,sg_cherating_tcwv,sg_cherating_rh,sg_cherating_ws,sg_cherating_tp
2015-01-01,25.719849,21.85913,1008.2505,-0.9567299,-4.5077057,51.696903,79.64938,4.644929,0.31089783,25.719849,21.85913,1008.2505,-0.9567299,-4.5077057,51.696903,79.64938,4.644929,0.31089783,25.719849,21.85913,1008.2505,-0.9567299,-4.5077057,51.696903,79.64938,4.644929,0.31089783,25.719849,21.85913,1008.2505,-0.9567299,-4.5077057,51.696903,79.64938,4.644929,0.31089783,25.978638,21.606201,1011.003,-1.8380775,-7.9017487,52.915653,76.91849,8.178433,0.57315826
2015-01-02,24.944977,22.520782,1008.77655,-0.81375885,-3.6840553,52.6371,86.61328,3.8900523,0.16117096,24.944977,22.520782,1008.77655,-0.81375885,-3.6840553,52.6371,86.61328,3.8900523,0.16117096,24.944977,22.520782,1008.77655,-0.81375885,-3.6840553,52.6371,86.61328,3.8900523,0.16117096,24.944977,22.520782,1008.77655,-0.81375885,-3.6840553,52.6371,86.61328,3.8900523,0.16117096,25.80484,21.718536,1011.33905,-2.2822647,-6.794407,53.37343,78.20972,7.2141824,0.6570816
2015-01-03,26.192505,22.220764,1007.6816,-0.14134979,-3.7510605,52.085567,79.271805,3.819797,0.0038146973,26.192505,22.220764,1007.6816,-0.14134979,-3.7510605,52.085567,79.271805,3.819797,0.0038146973,26.192505,22.220764,1007.6816,-0.14134979,-3.7510605,52.085567,79.271805,3.819797,0.0038146973,26.192505,22.220764,1007.6816,-0.14134979,-3.7510605,52.085567,79.271805,3.819797,0.0038146973,26.019653,22.465881,1010.40656,0.49732208,-7.8218613,53.596798,80.855194,7.8489285,0.22268295
2015-01-04,24.910889,22.573517,1006.97437,0.7200661,-3.4147453,55.680523,86.95797,3.5528593,2.9892921,24.910889,22.573517,1006.97437,0.7200661,-3.4147453,55.680523,86.95797,3.5528593,2.9892921,24.910889,22.573517,1006.97437,0.7200661,-3.4147453,55.680523,86.95797,3.5528593,2.9892921,24.910889,22.573517,1006.97437,0.7200661,-3.4147453,55.680523,86.95797,3.5528593,2.9892921,25.300049,22.778107,1009.53186,2.2107887,-7.1425285,58.401714,85.96477,7.592355,6.4167976
2015-01-05,26.209076,23.168335,1005.9464,0.44454956,-2.4923325,58.271015,83.98024,2.6622612,0.30899048,26.209076,23.168335,1005.9464,0.44454956,-2.4923325,58.271015,83.98024,2.6622612,0.30899048,26.209076,23.168335,1005.9464,0.44454956,-2.4923325,58.271015,83.98024,2.6622612,0.30899048,26.209076,23.168335,1005.9464,0.44454956,-2.4923325,58.271015,83.98024,2.6622612,0.30899048,25.870209,22.74353,1008.4839,1.0353699,-6.1744614,58.5591,82.94524,6.356573,0.16880035
2015-01-06,25.750092,23.87503,1005.65314,-0.48666382,-2.6480331,57.400497,89.74696,2.8276978,3.2167435,25.750092,23.87503,1005.65314,-0.48666382,-2.6480331,57.400497,89.74696,2.8276978,3.2167435,25.750092,23.87503,1005.65314,-0.48666382,-2.6480331,57.400497,89.74696,2.8276978,3.2167435,25.750092,23.87503,1005.65314,-0.48666382,-2.6480331,57.400497,89.74696,2.8276978,3.2167435,25.90683,23.181183,1008.28815,-0.24081421,-5.5638046,57.543564,84.98332,5.663341,0.34093857
2015-01-07,25.122314,23.226257,1006.51855,-0.12277222,-2.7752647,58.85222,89.67335,2.8405712,1.9655228,25.122314,23.226257,1006.51855,-0.12277222,-2.7752647,58.85222,89.67335,2.8405712,1.9655228,25.122314,23.226257,1006.51855,-0.12277222,-2.7752647,58.85222,89.67335,2.8405712,1.9655228,25.122314,23.226257,1006.51855,-0.12277222,-2.7752647,58.85222,89.67335,2.8405712,1.9655228,25.34253,23.189636,1009.1611,-0.2765808,-5.3455772,59.56511,87.94792,5.4844465,5.217552
2015-01-08,24.104187,22.575104,1007.8058,-0.15563202,-2.5466614,60.523224,91.301,2.99418,8.011818,24.104187,22.575104,1007.8058,-0.15563202,-2.5466614,60.523224,91.301,2.99418,8.011818,24.104187,22.575104,1007.8058,-0.15563202,-2.5466614,60.523224,91.301,2.99418,8.011818,24.104187,22.575104,1007.8058,-0.15563202,-2.5466614,60.523224,91.301,2.99418,8.011818,25.292175,23.093658,1010.19824,-2.3892746,-5.692169,60.330353,87.71204,6.672945,6.1483383
2015-01-09,24.26175,22.793793,1008.83655,0.66679,-1.9939995,57.93522,91.5723,2.3438797,3.1056404,24.26175,22.793793,1008.83655,0.66679,-1.9939995,57.93522,91.5723,2.3438797,3.1056404,24.26175,22.793793,1008.83655,0.66679,-1.9939995,57.93522,91.5723,2.3438797,3.1056404,24.26175,22.793793,1008.83655,0.66679,-1.9939995,57.93522,91.5723,2.3438797,3.1056404,25.31253,23.069672,1011.33655,-0.077106476,-5.279644,58.720375,87.465904,5.455651,3.118515
2015-01-10,25.117188,23.20691,1007.63794,-0.4938774,-2.7274437,56.340996,89.37556,2.9489927,1.1811256,25.117188,23.20691,1007.63794,-0.4938774,-2.7274437,56.340996,89.37556,2.9489927,1.1811256,25.117188,23.20691,1007.63794,-0.4938774,-2.7274437,56.340996,89.37556,2.9489927,1.1811256,25.117188,23.20691,1007.63794,-0.4938774,-2.7274437,56.340996,89.37556,2.9489927,1.1811256,25.08789,23.07605,1010.34045,-0.7282524,-4.5621605,57.870293,88.6425,4.723585,2.9625893
