Date,johor_ladang_lim_lim,johor_sg_tiram_di_kg_bukit_dagang,johor_sg_tiram_di_klinik_kesihatan_ulu_tiram,johor_layang_layang,johor_bukit_besar,johor_kg_semanggar,johor_ladang_nam_heng,johor_ladang_pekan,johor_lepau,johor_pasak,johor_sg_johor_di_kota_tinggi,johor_sg_kepala_orang_di_kg_sri_jaya,johor_sg_linggiu_di_linggiu,johor_sg_sembilang_di_kg_sg_sembilang,johor_ulu_sebol,johor_ladang_sedenak,johor_sg_siam_di_kg_sg_siam,johor_sg_siku_di_kg_murni_jaya
2015-05-01,,,,,,,,,,,,,,,,,,1.0
2015-05-02,,,,,,,,,,,,,,,,,,10.0
2015-05-03,,,,,,,,,,,,,,,,,,1.0
2015-05-04,,,,,,,,,,,,,,,,,,0.0
2015-05-05,,,,,,,,,,,21.0,,,,,,,1.0
2015-05-06,,,,,,,,,,,0.0,,,,,,,1.0
2015-05-07,,,,,,,,,,,,,,,,,,0.0
2015-05-08,,,,,,,,,,,0.0,,,,,,,0.0
2015-05-09,,,,,,,,,,,0.0,,,,,,,0.0
2015-05-10,,,,,,,,,,,10.0,,,,,,,25.0
2015-05-11,,,,,,,,,,,0.0,,,,,,,0.0
2015-05-12,,,,,,,,,,,0.0,,,,,,,0.0
2015-05-13,,,,,,,,,,,0.0,,,,,,,0.0
2015-05-14,,,,,,,,,,,,,,,,,,0.0
2015-05-15,,,,,,,,,,,,,,,,,,0.0
2015-05-16,,,,,,,,,,,0.0,,,,,,,0.0
2015-05-17,,,,,,,,,,,1.0,,,,,,,1.0
2015-05-18,,,,,,,,,,,,,,,,,,2.0
2015-05-19,,,,,,,,,,,2.0,,,,,,,2.0
2015-05-20,,,,,,,,,,,0.0,,,,,,,22.0
2015-05-21,,,,,,,,,,,1.0,,,,,,,2.0
2015-05-22,,,,,,,,,,,4.0,,,,,,,22.0
2015-05-23,,,,,,,,,,,3.0,,,,,,,1.0
2015-05-24,,,,,,,,,,,0.0,,,,,,,0.0
2015-05-25,,,,,,,,,,,1.0,,,,,,,2.0
2015-05-26,,,,,,,,,,,5.0,,,,,,,33.0
2015-05-27,,,,,,,,,,,1.0,,,,,,,0.0
2015-05-28,,,,,,,,,,,11.0,,,,,,,10.0
2015-05-29,,,,,,,,,,,0.0,,,,,,,1.0
2015-05-30,,,,,,,,,,,0.0,,,,,,,0.0
2015-05-31,,,,,,,,,,,0.0,,,,,,,1.0
2015-06-01,,,,,,,,,,,0.0,,,,,,,1.0
2015-06-02,,,,,,,,,,,3.0,,,,,,,5.0
2015-06-03,,,,,,,,,,,0.0,,,,,,,4.0
2015-06-04,,,,,,,,,,,3.0,,,,,,,14.0
2015-06-05,,,,,,,,,,,0.0,,,,,,,5.0
2015-06-06,,,,,,,,,,,0.0,,,,,,,7.0
2015-06-07,,,,,,,,,,,,,,,,,,1.0
2015-06-08,,,,,,,,,,,,,,,,,,7.0
2015-06-09,,,,,,,,,,,0.0,,,,,,,0.0
2015-06-10,,,,,,,,,,,0.0,,,,,,,7.0
2015-06-11,,,,,,,,,,,,,,,,,,2.0
2015-06-12,,,,,,,,,,,,,,,,,,1.0
2015-06-13,,,,,,,,,,,,,,,,,,0.0
2015-06-14,,,,,,,,,,,,,,,,,,6.0
2015-06-15,,,,,,,,,,,,,,,,,,0.0
2015-06-16,,,,,,,,,,,,,,,,,,4.0
2015-06-17,,,,,,,,,,,,,,,,,,7.0
2015-06-18,,,,,,,,,,,,,,,,,,0.0
2015-06-19,,,,,,,,,,,,,,,,,,0.0
2015-06-20,,,,,,,,,,,,,,,,,,0.0
2015-06-21,,,,,,,,,,,,,,,,,,0.0
2015-06-22,,,,,,,,,,,,,,,,,,0.0
2015-06-23,,,,,,,,,,,,,,,,,,0.0
2015-06-24,,,,,,,,,,,,,,,,,,0.0
2015-06-25,,,,0.0,0.0,,,,,,,,,,0.0,,,0.0
2015-06-26,,,,,0.0,,,,,,,,,,0.0,,,0.0
2015-06-27,,,,,,,,,,,,,,,,,,0.0
2015-06-28,,,,0.0,26.0,,,,,,,,,,23.0,,,7.0
2015-06-29,,,,0.0,0.0,,,,,,,,,,0.0,,,0.0
2015-06-30,,,,,,,,,,,,,,,,,,0.0
2015-07-01,,,,,,,,,,,,,,,,,,3.0
2015-07-02,,,,0.0,0.0,,,,,,,,,,0.0,,,0.0
2015-07-03,,,,0.0,0.0,,,,,,,,,,0.0,,,0.0
2015-07-04,,,,24.0,14.0,,,,,,,,,,16.0,,,18.0
2015-07-05,,,,0.0,0.0,,,,,,,,,,0.0,,,0.0
2015-07-06,,,,,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-07-07,,,,0.0,0.0,,,,,,16.0,,,,0.0,,,0.0
2015-07-08,,,,0.0,0.0,,,,,,0.0,,,,0.0,,,1.0
2015-07-09,,,,0.0,0.0,,,,,,0.0,,,,0.0,,,1.0
2015-07-10,,,,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-07-11,,,,3.0,1.0,,,,,,2.0,,,,1.0,,,4.0
2015-07-12,,,,0.0,6.0,,,,,,2.0,,,,0.0,,,14.0
2015-07-13,,,,1.0,2.0,,,,,,11.0,,,,0.0,,,1.0
2015-07-14,,,,0.0,9.0,,,,,,1.0,,,,13.0,,,4.0
2015-07-15,,,,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-07-16,,,,57.0,0.0,,,,,,0.0,,,,5.0,,,2.0
2015-07-17,,,,0.0,11.0,,,,,,10.0,,,,10.0,,,1.0
2015-07-18,,,,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-07-19,,,,1.0,24.0,,,,,,0.0,,,,24.0,,,7.0
2015-07-20,,,,38.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-07-21,,,,6.0,4.0,,,,,,0.0,,,,5.0,,,8.0
2015-07-22,,,,0.0,0.0,,,,,,0.0,,,,0.0,,,1.0
2015-07-23,,,,0.0,0.0,,,,,,7.0,,,,1.0,,,0.0
2015-07-24,,,,0.0,5.0,,,,,,1.0,,,,0.0,,,1.0
2015-07-25,,,,0.0,3.0,,,,,,0.0,,,,7.0,,,0.0
2015-07-26,,,,1.0,1.0,,,,,,19.0,,,,1.0,,,24.0
2015-07-27,,,,59.0,6.0,,,,,,1.0,,,,12.0,,,1.0
2015-07-28,,,,0.0,0.0,,,,,,2.0,,,,0.0,,,0.0
2015-07-29,,,,7.0,0.0,,,,,,1.0,,,,3.0,,,2.0
2015-07-30,,,,3.0,0.0,,,,,,0.0,,,,36.0,,,12.0
2015-07-31,,,,6.0,10.0,,,,,,1.0,,,,1.0,,,6.0
2015-08-01,,,,4.0,13.0,,,,,,9.0,,,,10.0,,,10.0
2015-08-02,,,,,,,,,,,10.0,,,,,,,0.0
2015-08-03,,,,,25.0,,,,,,19.0,,,,,,,9.0
2015-08-04,,,,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0
2015-08-05,,,,0.0,0.0,,,,,,11.0,,,,0.0,,,16.0
2015-08-06,,,,9.0,1.0,,,,,,0.0,,,,23.0,,,2.0
2015-08-07,,,,0.0,12.0,,,,,,3.0,,,,15.0,,,9.0
2015-08-08,,,,0.0,,,,,,,0.0,,,,0.0,,,2.0
2015-08-09,,,,1.0,,,,,,,0.0,,,,0.0,,,1.0
2015-08-10,,,,3.0,,,,,,,6.0,,,,0.0,,,0.0
2015-08-11,,,,42.0,,,,,,,1.0,,,,12.0,,,91.0
2015-08-12,,,,42.0,150.0,,,,,,1.0,,,,0.0,,,1.0
