Date,kedah_sek_keb_felda_bukit_tangga,kedah_sg_badak_di_akademi_binaan_malaysia_abm,kedah_sg_padang_terap_di_kepala_batas,kedah_sg_sintok_di_uum_sintok,kedah_sg_temin_di_kg_jeragan,kedah_felcra_sebapin,kedah_sek_keb_lamdin,kedah_sg_durian_burung_di_durian_burung,kedah_sg_padang_sanai_di_padang_sanai,kedah_sg_sari_di_kilang_gula_padang_terap,kedah_sek_keb_kampung_bukit
2015-05-01,,,1.0,,24.0,,,12.0,,,
2015-05-02,,,0.0,,0.0,,,3.0,,,
2015-05-03,,,1.0,,0.0,,,19.0,,,
2015-05-04,,,30.0,,0.0,,,17.0,,,
2015-05-05,,,0.0,,0.0,,,0.0,,,
2015-05-06,,,0.0,,0.0,,,0.0,,,
2015-05-07,,,2.0,,0.0,,,38.0,,,
2015-05-08,,,0.0,,0.0,,,0.0,,,
2015-05-09,,,0.0,,0.0,,,0.0,,,
2015-05-10,,,8.0,,33.0,,,0.0,,,
2015-05-11,,,0.0,,20.0,,,2.0,,,
2015-05-12,,,12.0,,3.0,,,30.0,,,
2015-05-13,,,0.0,,0.0,,,5.0,,,
2015-05-14,,,1.0,,0.0,,,1.0,,,
2015-05-15,,,0.0,,0.0,,,0.0,,,
2015-05-16,,,0.0,,0.0,,,4.0,,,
2015-05-17,,,5.0,,34.0,,,0.0,,,
2015-05-18,,,0.0,,49.0,,,0.0,,,
2015-05-19,,,0.0,,3.0,,,3.0,,,
2015-05-20,,,0.0,,0.0,,,1.0,,,
2015-05-21,,,0.0,,0.0,,,0.0,,,
2015-05-22,,,9.0,,1.0,,,22.0,,,
2015-05-23,,,0.0,,0.0,,,0.0,,,
2015-05-24,,,0.0,,0.0,,,4.0,,,
2015-05-25,,,3.0,,2.0,,,0.0,,,
2015-05-26,,,6.0,,2.0,,,1.0,,,
2015-05-27,,,0.0,,0.0,,,0.0,,,
2015-05-28,,,0.0,,0.0,,,0.0,,,
2015-05-29,,,0.0,,0.0,,,0.0,,,
2015-05-30,,,0.0,,21.0,,,6.0,,,
2015-05-31,,,35.0,,76.0,,,46.0,,,
2015-06-01,,,0.0,,0.0,,,0.0,,,
2015-06-02,,,2.0,,47.0,,,62.0,,,
2015-06-03,,,0.0,,0.0,,,0.0,,,
2015-06-04,,,0.0,,17.0,,,0.0,,,
2015-06-05,,,14.0,,5.0,,,60.0,,,
2015-06-06,,,0.0,,0.0,,,0.0,,,
2015-06-07,,,0.0,,5.0,,,7.0,,,
2015-06-08,,,0.0,,0.0,,,5.0,,,
2015-06-09,,,0.0,,0.0,,,0.0,,,
2015-06-10,,,0.0,,8.0,,,0.0,,,
2015-06-11,,,0.0,,0.0,,,1.0,,,
2015-06-12,,,2.0,,103.0,,,28.0,,,
2015-06-13,,,1.0,,0.0,,,5.0,,,
2015-06-14,,,6.0,,0.0,,,0.0,,,
