Date,pasir_kemudi,felda_panching,komtur,sg_belat,sg_cherating
2015-05-01,0.0,0.0,0.0,,
2015-05-02,,,48.0,,
2015-05-03,,,0.0,,
2015-05-04,1.0,,0.0,,
2015-05-05,0.0,,0.0,,
2015-05-06,0.0,,0.0,,
2015-05-07,0.0,,0.0,,
2015-05-08,1.0,,,,
2015-05-09,0.0,,0.0,,
2015-05-10,0.0,,0.0,,
2015-05-11,19.0,,4.0,,
2015-05-12,0.0,1.0,0.0,,
2015-05-13,0.0,1.0,0.0,,
2015-05-14,14.0,8.0,8.0,,
2015-05-15,0.0,29.0,0.0,,
2015-05-16,0.0,2.0,1.0,,
2015-05-17,,72.0,,,
2015-05-18,45.0,8.0,,,
2015-05-19,0.0,0.0,0.0,,
2015-05-20,0.0,0.0,0.0,,
2015-05-21,1.0,0.0,0.0,,
2015-05-22,9.0,5.0,1.0,,
2015-05-23,0.0,0.0,0.0,,
2015-05-24,0.0,0.0,0.0,,
2015-05-25,8.0,0.0,0.0,,
2015-05-26,3.0,18.0,8.0,,
2015-05-27,0.0,0.0,1.0,,
2015-05-28,0.0,0.0,0.0,,
2015-05-29,4.0,2.0,18.0,,
2015-05-30,0.0,0.0,0.0,,
2015-05-31,,0.0,,,
2015-06-01,,0.0,0.0,,
2015-06-02,0.0,0.0,2.0,,
2015-06-03,0.0,0.0,0.0,,
2015-06-04,0.0,0.0,0.0,,
2015-06-05,0.0,0.0,0.0,,
2015-06-06,0.0,0.0,0.0,,
2015-06-07,,0.0,0.0,,
2015-06-08,,3.0,9.0,,
2015-06-09,4.0,24.0,0.0,,
2015-06-10,0.0,0.0,0.0,,
2015-06-11,0.0,0.0,0.0,,
2015-06-12,0.0,0.0,0.0,,
2015-06-13,19.0,11.0,,,
2015-06-14,0.0,1.0,,,
2015-06-15,0.0,3.0,58.0,,
2015-06-16,0.0,0.0,19.0,,
2015-06-17,0.0,0.0,0.0,,
2015-06-18,4.0,4.0,30.0,,
2015-06-19,0.0,,1.0,,
2015-06-20,,0.0,52.0,,
2015-06-21,,0.0,,,
2015-06-22,,0.0,0.0,,
2015-06-23,,0.0,0.0,,
2015-06-24,0.0,0.0,0.0,,
2015-06-25,5.0,8.0,4.0,,
2015-06-26,0.0,0.0,2.0,,
2015-06-27,0.0,0.0,0.0,,
2015-06-28,,0.0,0.0,,
2015-06-29,,0.0,,,
2015-06-30,0.0,0.0,0.0,,
2015-07-01,0.0,4.0,0.0,,
2015-07-02,0.0,0.0,0.0,,
2015-07-03,3.0,1.0,7.0,,
2015-07-04,41.0,0.0,1.0,,
2015-07-05,,0.0,0.0,,
2015-07-06,8.0,0.0,,,
2015-07-07,0.0,0.0,21.0,,
2015-07-08,1.0,3.0,1.0,,
2015-07-09,24.0,0.0,0.0,,
2015-07-10,0.0,0.0,0.0,,
2015-07-11,,0.0,,,
2015-07-12,,0.0,,,
2015-07-13,,0.0,,,
2015-07-14,,1.0,,,
2015-07-15,88.0,0.0,,,
2015-07-16,8.0,0.0,0.0,,
2015-07-17,8.0,0.0,0.0,,
2015-07-18,0.0,0.0,0.0,,
2015-07-19,0.0,34.0,1.0,,
2015-07-20,0.0,0.0,0.0,,
2015-07-21,0.0,1.0,0.0,,
2015-07-22,0.0,0.0,0.0,,
2015-07-23,,0.0,,,
2015-07-24,0.0,0.0,0.0,,
2015-07-25,0.0,0.0,0.0,,
2015-07-26,12.0,12.0,7.0,,
2015-07-27,,1.0,,,
2015-07-28,,0.0,,,
2015-07-29,,0.0,,,
2015-07-30,0.0,0.0,0.0,,
2015-07-31,1.0,1.0,20.0,,
2015-08-01,0.0,1.0,1.0,,
2015-08-02,7.0,0.0,1.0,,
2015-08-03,42.0,23.0,32.0,,
2015-08-04,0.0,0.0,1.0,,
2015-08-05,0.0,0.0,0.0,,
2015-08-06,0.0,0.0,0.0,,
2015-08-07,5.0,1.0,33.0,,
2015-08-08,73.0,44.0,37.0,,
2015-08-09,12.0,7.0,37.0,,
2015-08-10,5.0,38.0,49.0,,
2015-08-11,9.0,5.0,11.0,,
2015-08-12,36.0,16.0,428.0,,
2015-08-13,0.0,0.0,0.0,,
2015-08-14,0.0,0.0,1.0,,
2015-08-15,0.0,0.0,0.0,,
2015-08-16,3.0,32.0,,,
2015-08-17,0.0,0.0,0.0,,
2015-08-18,0.0,0.0,2.0,,
2015-08-19,,2.0,,,
2015-08-20,,2.0,,,
2015-08-21,18.0,4.0,0.0,,
2015-08-22,6.0,17.0,,,
2015-08-23,1.0,18.0,3.0,,
2015-08-24,51.0,24.0,76.0,,
2015-08-25,0.0,0.0,434.0,,
2015-08-26,,0.0,,,
2015-08-27,1.0,0.0,0.0,,
2015-08-28,0.0,0.0,,,
2015-08-29,0.0,0.0,0.0,,
2015-08-30,0.0,0.0,12.0,,
2015-08-31,0.0,0.0,,,
2015-09-01,0.0,0.0,0.0,,
2015-09-02,0.0,0.0,0.0,,
2015-09-03,0.0,1.0,148.0,,
2015-09-04,0.0,0.0,0.0,,
2015-09-05,0.0,0.0,6.0,,
2015-09-06,,0.0,,,
2015-09-07,,33.0,14.0,,
2015-09-08,10.0,3.0,2.0,,
2015-09-09,2.0,2.0,4.0,,
2015-09-10,3.0,10.0,0.0,,
2015-09-11,0.0,0.0,0.0,,
2015-09-12,0.0,0.0,9.0,,
2015-09-13,1.0,3.0,48.0,,
2015-09-14,0.0,0.0,0.0,,
2015-09-15,1.0,4.0,1.0,,
2015-09-16,8.0,16.0,5.0,,
2015-09-17,5.0,3.0,6.0,,
2015-09-18,0.0,0.0,0.0,,
2015-09-19,0.0,0.0,0.0,,
2015-09-20,0.0,0.0,0.0,,
2015-09-21,1.0,0.0,0.0,,
2015-09-22,18.0,0.0,6.0,,
2015-09-23,0.0,0.0,0.0,,
2015-09-24,0.0,0.0,0.0,,
2015-09-25,0.0,0.0,0.0,,
2015-09-26,0.0,0.0,0.0,,
2015-09-27,0.0,0.0,0.0,,
2015-09-28,10.0,20.0,11.0,,
2015-09-29,0.0,10.0,0.0,,
2015-09-30,0.0,0.0,0.0,,
2015-10-01,0.0,0.0,0.0,,
2015-10-02,3.0,3.0,5.0,,
2015-10-03,0.0,0.0,0.0,,
2015-10-04,0.0,0.0,0.0,,
2015-10-05,0.0,0.0,0.0,,
2015-10-06,4.0,1.0,0.0,,
2015-10-07,2.0,1.0,2.0,,
2015-10-08,0.0,0.0,0.0,,
2015-10-09,0.0,0.0,0.0,,
2015-10-10,0.0,0.0,0.0,,
2015-10-11,4.0,2.0,0.0,,
2015-10-12,0.0,0.0,0.0,,
2015-10-13,0.0,23.0,0.0,,
2015-10-14,0.0,0.0,0.0,,
2015-10-15,0.0,0.0,0.0,,
2015-10-16,13.0,3.0,16.0,,
2015-10-17,30.0,4.0,0.0,,
2015-10-18,28.0,0.0,1.0,,
2015-10-19,1.0,0.0,5.0,,
2015-10-20,0.0,0.0,237.0,,
2015-10-21,0.0,0.0,10.0,,
2015-10-22,0.0,0.0,0.0,,
2015-10-23,0.0,0.0,0.0,,
2015-10-24,6.0,0.0,1.0,,
2015-10-25,0.0,0.0,0.0,,
2015-10-26,0.0,0.0,10.0,,
2015-10-27,214.0,0.0,75.0,,
2015-10-28,,,,,
2015-10-29,,0.0,,,
2015-10-30,74.0,1.0,72.0,,
2015-10-31,0.0,0.0,1.0,,
2015-11-01,,0.0,,,
2015-11-02,,0.0,,,
2015-11-03,,0.0,,,
2015-11-04,0.0,0.0,6.0,,
2015-11-05,15.0,0.0,40.0,,
2015-11-06,3.0,0.0,29.0,,
2015-11-07,6.0,0.0,5.0,,
2015-11-08,0.0,0.0,0.0,,
2015-11-09,0.0,0.0,0.0,,
2015-11-10,0.0,0.0,0.0,,
2015-11-11,,0.0,33.0,,
2015-11-12,0.0,0.0,0.0,,
2015-11-13,9.0,0.0,,,
2015-11-14,1.0,0.0,4.0,,
2015-11-15,15.0,0.0,3.0,,
2015-11-16,,0.0,8.0,,
2015-11-17,2.0,0.0,5.0,,
2015-11-18,0.0,0.0,0.0,,
2015-11-19,,,,,
2015-11-20,7.0,2.0,9.0,326.0,
2015-11-21,21.0,0.0,7.0,0.0,
2015-11-22,5.0,0.0,0.0,1.0,
2015-11-23,,0.0,,,
2015-11-24,3.0,0.0,0.0,9.0,
2015-11-25,0.0,0.0,259.0,5.0,
2015-11-26,4.0,0.0,15.0,4.0,
2015-11-27,135.0,,159.0,196.0,
2015-11-28,12.0,0.0,33.0,10.0,
2015-11-29,108.0,0.0,104.0,40.0,
2015-11-30,0.0,0.0,4.0,1.0,
2015-12-01,0.0,0.0,0.0,0.0,
2015-12-02,0.0,0.0,0.0,1.0,
2015-12-03,0.0,0.0,0.0,0.0,
2015-12-04,0.0,0.0,0.0,0.0,
2015-12-05,8.0,0.0,10.0,5.0,
2015-12-06,27.0,0.0,4.0,10.0,
2015-12-07,34.0,0.0,37.0,13.0,
2015-12-08,6.0,0.0,5.0,3.0,
2015-12-09,12.0,0.0,10.0,20.0,
2015-12-10,0.0,0.0,0.0,3.0,
2015-12-11,1.0,0.0,0.0,0.0,
2015-12-12,14.0,0.0,12.0,10.0,
2015-12-13,19.0,0.0,26.0,17.0,
2015-12-14,0.0,0.0,0.0,0.0,
2015-12-15,0.0,0.0,0.0,0.0,
2015-12-16,0.0,0.0,0.0,0.0,
2015-12-17,6.0,7.0,3.0,1.0,
2015-12-18,0.0,3.0,13.0,4.0,
2015-12-19,0.0,0.0,0.0,0.0,
2015-12-20,0.0,0.0,0.0,0.0,
2015-12-21,0.0,0.0,0.0,0.0,
2015-12-22,0.0,0.0,0.0,,
2015-12-23,16.0,5.0,4.0,0.0,
2015-12-24,7.0,3.0,1.0,1.0,
2015-12-25,14.0,9.0,2.0,0.0,
2015-12-26,1.0,0.0,1.0,0.0,
2015-12-27,,13.0,,116.0,
2015-12-28,66.0,80.0,105.0,137.0,
