#Bulk Export - Points every 1 day(s),,,,
,,0570061RF,0570051RF,0570021RF
,,LDG. NADA AT PAHANG (3931013),SG. LEMBING PAHANG CONSOLIDATED COMPANY LIMITED MILL AT PAHANG (3930012),LDG. KUALA REMAN AT PAHANG (3931014)
,,Rainfall.Primary,Rainfall.Primary,Rainfall.Primary
Start of Interval (UTC+08:00),End of Interval (UTC+08:00),Total (mm),Total (mm),Total (mm)
2009-01-01 00:00:00,2009-01-02 00:00:00,86.5,92.2,76.5
2009-01-02 00:00:00,2009-01-03 00:00:00,72.7,63.4,52.5
2009-01-03 00:00:00,2009-01-04 00:00:00,185.3,238.9,239.4
2009-01-04 00:00:00,2009-01-05 00:00:00,17.5,23.5,18.5
2009-01-05 00:00:00,2009-01-06 00:00:00,7.5,12.5,18.0
2009-01-06 00:00:00,2009-01-07 00:00:00,0.5,0.0,0.0
2009-01-07 00:00:00,2009-01-08 00:00:00,0.0,0.0,0.0
2009-01-08 00:00:00,2009-01-09 00:00:00,0.0,0.0,0.0
2009-01-09 00:00:00,2009-01-10 00:00:00,0.0,0.0,0.0
2009-01-10 00:00:00,2009-01-11 00:00:00,0.0,0.0,0.0
2009-01-11 00:00:00,2009-01-12 00:00:00,0.0,0.0,0.0
2009-01-12 00:00:00,2009-01-13 00:00:00,4.0,4.5,2.5
2009-01-13 00:00:00,2009-01-14 00:00:00,3.4,3.4,3.8
2009-01-14 00:00:00,2009-01-15 00:00:00,3.6,5.3,5.2
2009-01-15 00:00:00,2009-01-16 00:00:00,0.0,0.3,0.5
2009-01-16 00:00:00,2009-01-17 00:00:00,0.5,0.0,0.0
2009-01-17 00:00:00,2009-01-18 00:00:00,0.0,0.0,0.0
2009-01-18 00:00:00,2009-01-19 00:00:00,0.0,0.0,0.0
2009-01-19 00:00:00,2009-01-20 00:00:00,0.0,0.0,0.0
2009-01-20 00:00:00,2009-01-21 00:00:00,0.0,0.0,0.0
2009-01-21 00:00:00,2009-01-22 00:00:00,0.0,0.0,0.0
2009-01-22 00:00:00,2009-01-23 00:00:00,0.0,0.0,0.0
2009-01-23 00:00:00,2009-01-24 00:00:00,0.0,0.0,0.0
2009-01-24 00:00:00,2009-01-25 00:00:00,0.4,4.9,0.4
2009-01-25 00:00:00,2009-01-26 00:00:00,14.3,25.6,20.5
2009-01-26 00:00:00,2009-01-27 00:00:00,1.8,2.0,2.6
2009-01-27 00:00:00,2009-01-28 00:00:00,0.0,0.0,0.0
2009-01-28 00:00:00,2009-01-29 00:00:00,0.0,0.0,0.0
2009-01-29 00:00:00,2009-01-30 00:00:00,0.0,0.0,0.0
2009-01-30 00:00:00,2009-01-31 00:00:00,0.0,0.0,0.0
2009-01-31 00:00:00,2009-02-01 00:00:00,0.0,0.0,0.0
2009-02-01 00:00:00,2009-02-02 00:00:00,0.0,1.0,0.0
2009-02-02 00:00:00,2009-02-03 00:00:00,0.0,0.0,0.0
2009-02-03 00:00:00,2009-02-04 00:00:00,0.0,0.0,0.0
2009-02-04 00:00:00,2009-02-05 00:00:00,0.0,2.0,0.0
2009-02-05 00:00:00,2009-02-06 00:00:00,0.0,0.0,0.0
2009-02-06 00:00:00,2009-02-07 00:00:00,0.0,0.0,0.0
2009-02-07 00:00:00,2009-02-08 00:00:00,0.0,0.0,0.0
2009-02-08 00:00:00,2009-02-09 00:00:00,0.0,0.0,0.0
2009-02-09 00:00:00,2009-02-10 00:00:00,0.0,0.0,0.0
2009-02-10 00:00:00,2009-02-11 00:00:00,0.0,0.0,0.0
2009-02-11 00:00:00,2009-02-12 00:00:00,0.5,0.5,0.5
2009-02-12 00:00:00,2009-02-13 00:00:00,11.5,9.0,4.0
2009-02-13 00:00:00,2009-02-14 00:00:00,5.0,0.0,0.0
2009-02-14 00:00:00,2009-02-15 00:00:00,1.0,0.5,0.5
2009-02-15 00:00:00,2009-02-16 00:00:00,15.0,2.5,1.5
2009-02-16 00:00:00,2009-02-17 00:00:00,13.5,35.5,0.0
2009-02-17 00:00:00,2009-02-18 00:00:00,0.0,0.0,0.0
2009-02-18 00:00:00,2009-02-19 00:00:00,0.0,0.0,0.0
2009-02-19 00:00:00,2009-02-20 00:00:00,0.0,0.0,0.0
2009-02-20 00:00:00,2009-02-21 00:00:00,12.5,6.0,1.0
2009-02-21 00:00:00,2009-02-22 00:00:00,1.0,3.0,0.0
2009-02-22 00:00:00,2009-02-23 00:00:00,3.5,1.5,3.5
2009-02-23 00:00:00,2009-02-24 00:00:00,43.0,13.5,26.0
2009-02-24 00:00:00,2009-02-25 00:00:00,0.0,0.0,0.0
2009-02-25 00:00:00,2009-02-26 00:00:00,0.0,0.0,0.0
